YEAR,MONTH,DAY,GRID_NO,PRECIPITATION,ET0,TEMPERATURE_AVG,WINDSPEED,RADIATION
1975,12,3,97100,0.2,0.44,5.2,2,2686
1975,12,4,97100,0,0.12,0.9,2,4099
1975,12,5,97100,1,0.08,0.3,3.6,1742
1975,12,6,97100,0.1,0.11,3.1,2.5,1727
1975,12,7,97100,0,0.13,2.8,1,3595
1975,12,8,97100,0,0.4,3.6,2.5,1700
1975,12,9,97100,0,0.1,2,1.4,3707
1975,12,10,97100,0,0.08,-1.6,2,2553
1975,12,11,97100,0,0.06,1.4,1.4,5055
1975,12,12,97100,0,0.13,-1.9,1,1657
1975,12,13,97100,0.3,0.32,-0.5,2.5,1649
1975,12,14,97100,0,0.27,-2.8,5.7,4895
1975,12,15,97100,0,0.19,-4,4.9,4323
1975,12,16,97100,0,0.03,-5.5,2.5,1630
1975,12,17,97100,0.2,0.14,-2.8,4.9,1625
1975,12,18,97100,0,0.77,-2.7,5.7,5153
1975,12,19,97100,0,0.12,-6.3,1.4,4946
1975,12,20,97100,0,0.31,-2.3,1,1618
1975,12,21,97100,0,0.17,0.3,2,1618
1975,12,22,97100,0,0.28,1.8,1.4,1619
1975,12,23,97100,0,0.34,2,2.5,1620
1975,12,24,97100,0.4,0.64,1.5,4.9,1724
1975,12,25,97100,4.2,0.22,0.6,4.9,1627
1975,12,26,97100,0.1,0.12,2,2.9,1631
1975,12,27,97100,0,0.31,3.9,4.3,1637
1975,12,28,97100,0,0.38,2.1,2.9,1643
1975,12,29,97100,0,0.28,0.6,2.5,1651
1975,12,30,97100,0,0.29,0.4,3.6,1660
1975,12,31,97100,2.3,0.38,1.5,7.1,1669
1976,1,1,97100,5.3,0,3.3,7.1,1680
1976,1,2,97100,6.7,0.29,7.3,9.9,1691
1976,1,3,97100,0.8,1.57,5.2,9.1,2903
1976,1,4,97100,0.1,0.48,1.9,2.9,3448
1976,1,5,97100,1.5,0.36,3.3,7.1,1732
1976,1,6,97100,1.5,0.32,6.3,4.3,1800
1976,1,7,97100,0.7,0.35,6.5,4.3,1764
1976,1,8,97100,0,0.81,5.3,5.7,1781
1976,1,9,97100,0.1,0.44,2.8,2.9,1800
1976,1,10,97100,3.6,0.29,3.5,5.7,1819
1976,1,11,97100,3.3,0.05,7.7,5.7,1840
1976,1,12,97100,0.9,0.68,7.8,6.4,1972
1976,1,13,97100,0,0.45,7.1,3.6,1883
1976,1,14,97100,0.7,0.84,6.4,5.7,1907
1976,1,15,97100,0.3,0.57,4.4,2.9,4199
1976,1,16,97100,0.1,0.4,5.5,2.5,1956
1976,1,17,97100,0.1,0.7,4.5,2.5,2386
1976,1,18,97100,0.1,0.53,3.3,2.5,3524
1976,1,19,97100,2.3,0.24,1.5,5.7,2038
1976,1,20,97100,2.5,0.62,5.3,9.9,2067
1976,1,21,97100,2.5,1.31,5.4,8.2,2336
1976,1,22,97100,8.8,0.23,5.4,6.4,2128
1976,1,23,97100,0.6,0.67,4.4,5.7,3259
1976,1,24,97100,0.3,0.4,0.4,2.5,4722
1976,1,25,97100,0.5,0.27,-0.9,2.9,2413
1976,1,26,97100,2.1,0.35,-2,2.5,4527
1976,1,27,97100,3.6,0.12,-2.9,4.3,2424
1976,1,28,97100,0,0.37,-4.8,3.6,7346
1976,1,29,97100,0,0.33,-10.2,4.9,5942
1976,1,30,97100,0,0.52,-7.7,5.7,6872
1976,1,31,97100,0,0.48,-6.3,6.4,2447
1976,2,1,97100,0,0.48,-2.4,4.3,5705
1976,2,2,97100,0,0.2,-4.5,3.6,2528
1976,2,3,97100,0,0.4,-0.9,1.4,3392
1976,2,4,97100,0,0.5,-1.1,2.9,6351
1976,2,5,97100,0,0.51,-0.3,6.4,6924
1976,2,6,97100,0,0.54,1,2.9,4468
1976,2,7,97100,0,0.44,0.9,2,2744
1976,2,8,97100,0,0.3,0.1,2.5,2790
1976,2,9,97100,0,0.34,1.8,0.7,2836
1976,2,10,97100,7.9,0.23,2.1,4.9,2883
1976,2,11,97100,0.5,0.55,1.5,4.3,3155
1976,2,12,97100,13.8,0.23,-0.1,6.4,2980
1976,2,13,97100,9.9,0.31,2.4,2.5,3029
1976,2,14,97100,0.1,0.85,0.4,4.3,3156
1976,2,15,97100,0,0.54,-2.5,4.3,3130
1976,2,16,97100,0,0.4,-1.5,5.7,3181
1976,2,17,97100,0,0.51,2.2,2,3233
1976,2,18,97100,0,0.43,1.2,1,5455
1976,2,19,97100,0,0.53,3.4,0.7,5855
1976,2,20,97100,1.1,0.9,8,1.4,4213
1976,2,21,97100,2,0.59,5.4,2,3447
1976,2,22,97100,0,0.8,5.2,2,5176
1976,2,23,97100,0,0.86,5.2,1.4,7868
1976,2,24,97100,0.5,0.39,2.8,2.5,3614
1976,2,25,97100,0.1,1.02,8.6,2.5,5739
1976,2,26,97100,0,0.96,6,2.5,6426
1976,2,27,97100,0,1.02,5,2,7740
1976,2,28,97100,0,0.75,4.2,1,7215
1976,2,29,97100,0.2,1.37,6.4,2.5,7574
1976,3,1,97100,0,1.75,7.5,2.5,13093
1976,3,2,97100,0,1.61,3.8,4.3,13054
1976,3,3,97100,0,2.51,5,5.7,13013
1976,3,4,97100,0,2.98,4.5,6.4,13154
1976,3,5,97100,0,1.84,0.6,5.7,13295
1976,3,6,97100,0,1.45,-1.5,5.7,11923
1976,3,7,97100,0,1.06,-2.4,4.3,6994
1976,3,8,97100,0,1.27,-3,4.3,12949
1976,3,9,97100,0,0.89,-3.6,2,10657
1976,3,10,97100,0,1.12,-2.4,1.4,12925
1976,3,11,97100,0,1.78,0.6,2.5,11774
1976,3,12,97100,2.1,1.35,3.4,3.6,5626
1976,3,13,97100,0,1.84,5.9,4.3,9508
1976,3,14,97100,0,1.47,5.3,1.4,12440
1976,3,15,97100,2.4,0.69,3.6,2,4819
1976,3,16,97100,7.6,0.74,5,0.7,5190
1976,3,17,97100,10.2,0.82,5.6,1.4,5049
1976,3,18,97100,0.3,0.69,6.3,2.9,5008
1976,3,19,97100,0,1.6,3.7,3.6,11582
1976,3,20,97100,0,2.2,1.6,4.9,16134
1976,3,21,97100,0,2.25,1.3,4.3,16489
1976,3,22,97100,0.5,2.03,-0.5,4.9,13521
1976,3,23,97100,0,1.33,1.3,4.9,5757
1976,3,24,97100,0.3,1.88,4.8,1.4,16044
1976,3,25,97100,6.7,0.67,4.3,5.7,5452
1976,3,26,97100,7.3,1.61,7.5,5.7,5515
1976,3,27,97100,0,1.18,4.4,4.3,6465
1976,3,28,97100,0,1.71,8.7,2.5,10662
1976,3,29,97100,0,2.45,7.9,2.9,15583
1976,3,30,97100,0,1.51,7.6,3.6,6445
1976,3,31,97100,0,2.56,9.4,4.3,16622
1976,4,1,97100,0,2.99,12.5,2,18347
1976,4,2,97100,0,3.91,15,3.6,16757
1976,4,3,97100,1,1.44,7.9,2.5,7057
1976,4,4,97100,7.6,0.8,5.4,1,6079
1976,4,5,97100,0,2.74,9.7,2.5,18055
1976,4,6,97100,0.1,2.17,8.7,2.5,14891
1976,4,7,97100,1.3,2.14,7,3.6,10748
1976,4,8,97100,0.1,1.86,4.4,3.6,10475
1976,4,9,97100,0,2.5,4.5,2.5,19853
1976,4,10,97100,0,2.64,5.7,2,20098
1976,4,11,97100,0,3.26,7.6,2.9,21184
1976,4,12,97100,0,3.15,8,2.9,19860
1976,4,13,97100,0,2.63,9.1,1,20100
1976,4,14,97100,0.9,1.13,5.8,1.4,7413
1976,4,15,97100,0,3.8,9.9,4.9,20211
1976,4,16,97100,0,2.82,10.6,4.3,15406
1976,4,17,97100,0,3.57,12.8,2.5,19819
1976,4,18,97100,0,4.38,13.4,2.9,22654
1976,4,19,97100,0,5.34,15.3,4.9,22895
1976,4,20,97100,0,5.35,14.8,6.4,22386
1976,4,21,97100,0,4.16,12.1,3.6,23500
1976,4,22,97100,0,3.45,8,4.3,20468
1976,4,23,97100,0,2.75,3.6,5.7,17791
1976,4,24,97100,3.2,1.09,2.6,8.2,7243
1976,4,25,97100,0.4,1.08,5.2,4.3,7296
1976,4,26,97100,0,3.08,10.1,4.3,15123
1976,4,27,97100,0,2.08,6.1,2.5,13025
1976,4,28,97100,0,3.09,3.3,4.9,22453
1976,4,29,97100,0,3.32,4,3.6,24346
1976,4,30,97100,0,3.01,5.9,2.5,23154
1976,5,1,97100,0,3.61,8.7,2.5,24021
1976,5,2,97100,0.2,2.32,8.6,1,14780
1976,5,3,97100,2.9,1.33,9.3,4.3,7699
1976,5,4,97100,0,3.84,10.1,3.6,24289
1976,5,5,97100,0,3.57,12.6,1,23982
1976,5,6,97100,0,4.61,18.2,1.4,25504
1976,5,7,97100,0,6.52,19.6,4.3,24801
1976,5,8,97100,0,5.57,22,2,25801
1976,5,9,97100,0,5.69,22,2.9,22061
1976,5,10,97100,0,4.53,19.4,2,23319
1976,5,11,97100,0,2.92,15.1,2,12550
1976,5,12,97100,3.9,3.74,12.8,6.4,16175
